ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
Siu Sai Wan,Medium Risk,0.3194684425073398,17.9,6.37,24,14.458333333333332,1.3160776230596298,1978.0,0.0,0.0,3.0,0.0,0,10.94615384615385,14,6,19,12447,3.1,24600,11487,0,692,268,0,2800.0
Tsui Tak,Medium Risk,0.4448364092830939,24.9,6.44,35,17.591428571428583,0.9756706553295598,1982.0,14.0,0.0,28.0,2.0,0,18.952380952380945,37,5,48,12740,2.7,38080,0,0,12571,168,1,11500.0
Yue Wan,Medium Risk,0.5851988550070972,32.8,6.44,39,14.600000000000001,0.6738793874963174,1995.0,0.0,0.0,6.0,7.0,0,24.86397058823529,62,5,83,16169,2.7,21210,11669,4290,186,24,0,2070.0
Fei Tsui,Low Risk,0.1474545754437376,8.3,6.44,39,8.256410256410259,0.0656321591925404,1974.0,0.0,0.0,3.0,4.0,0,275.4686230248308,456,32,501,14323,2.5,18100,8598,4000,1483,242,0,1890.0
King Yee,Medium Risk,0.41970986602973176,23.5,6.37,29,7.7379310344827665,0.03662659175191994,1993.0,0.0,1.0,18.0,4.0,1,49.10726072607254,120,0,130,14608,3.0,35190,0,13838,770,0,0,15000.0
Hing Man,Low Risk,0.278280835824263,15.6,6.71,25,10.824000000000012,0.05500061151418211,1978.0,0.0,0.0,4.0,1.0,0,221.3828451882843,378,20,470,13602,3.0,23020,12442,0,1042,118,0,2650.0
Lok Hong,Medium Risk,0.37317351495328466,20.9,6.71,72,15.850000000000016,0.42796343753712696,1978.0,28.0,2.0,12.0,7.0,0,63.61918194640344,151,3,163,11995,2.9,35630,597,3952,7182,264,0,6500.0
Yan Lam,Medium Risk,0.48655311291657294,27.3,6.37,54,8.070370370370377,0.25625210314918134,1997.0,0.0,0.0,20.0,2.0,1,10.497975708502025,24,0,23,15801,3.0,46070,0,6431,9370,0,0,23000.0
Upper Yiu Tung,Medium Risk,0.3611111771308863,20.2,6.71,13,7.592307692307706,0.050380091890967156,1987.5,0.0,1.0,35.0,5.0,0,102.97772277227716,148,22,200,13159,3.0,27250,9856,3074,213,16,0,2920.0
Lower Yiu Tung,Medium Risk,0.3475070256734622,19.5,6.71,73,8.876712328767127,0.8061802176343311,1985.0,0.0,8.0,59.0,3.0,0,30.23809523809524,63,5,78,15027,2.6,27000,5289,1026,8409,280,23,3180.0
Tsui Wan,Medium Risk,0.39839853418390053,22.3,6.37,117,9.817094017094004,0.749104488707571,1989.0,39.0,7.0,7.0,9.0,1,10.722222222222218,41,0,42,11801,2.8,30190,1699,6865,3191,46,0,2190.0
Shaukeiwan,Medium Risk,0.31638905360979863,17.7,6.71,94,12.040425531914892,4.388148143612931,1979.0,1.0,2.0,104.0,2.0,0,15.281818181818187,25,4,29,13442,2.5,30080,0,0,13118,322,2,11400.0
Aldrich Bay,High Risk,0.9877018345588329,55.4,6.71,31,16.319354838709685,1.0964895340436385,2018.0,0.0,0.0,2.0,0.0,1,42.94017094017096,61,11,83,17925,2.7,23420,9021,8354,238,311,1,2930.0
Heng Fa Chuen,Medium Risk,0.460181678606294,25.8,6.71,57,12.438596491228076,0.6013749906594584,1988.0,0.0,3.0,55.0,14.0,1,6.0978835978835955,19,0,18,18397,2.9,52700,0,0,18397,0,0,17800.0
Hing Tung,Medium Risk,0.5100243046866667,28.6,6.83,34,11.758823529411771,0.2626045747566296,1991.5,0.0,0.0,0.0,2.0,0,50.82352941176471,82,11,108,16972,2.8,25090,6131,10385,456,0,0,3540.0
Kornhill,Medium Risk,0.4489202945346119,25.2,6.83,39,12.933333333333337,0.7914230559784695,1986.0,0.0,1.0,26.0,8.0,0,58.40170940170938,55,33,98,14215,2.9,60660,0,0,14209,6,0,20000.0
Sai Wan Ho,Medium Risk,0.32181105068977245,18.0,6.83,231,14.220779220779168,5.607774256885425,1976.0,0.0,10.0,206.0,9.0,1,22.014018691588774,49,4,75,18771,2.5,31970,0,0,18630,69,72,10800.0
Nam Fung,Low Risk,0.2227649569100176,12.5,6.83,24,7.3708333333333655,0.6318892839111218,1978.0,0.0,0.0,27.0,2.0,0,37.6056338028169,19,27,52,13342,2.7,39640,0,0,13314,0,28,16000.0
Kornhill Garden,Medium Risk,0.48862073149576635,27.4,6.83,44,14.234090909090916,1.4693626050572204,1987.0,0.0,4.0,32.0,2.0,0,35.41463414634148,24,23,50,13083,2.7,40040,0,3908,9146,8,21,18500.0
Mount Parker,Low Risk,0.27057000030006756,15.2,6.83,57,12.308771929824587,0.03729824962498566,1975.0,0.0,1.0,21.0,1.0,0,221.8251823251824,457,10,489,12348,2.6,23840,0,0,12225,0,123,10200.0
Fortress Hill,Medium Risk,0.5789497919649206,32.4,6.94,105,20.9542857142857,5.938319118120177,1984.0,0.0,13.0,76.0,6.0,0,44.746913580246925,41,28,74,15464,3.0,50950,0,0,15451,5,8,22200.0
A Kung Ngam,Medium Risk,0.3177860044806754,17.8,6.71,193,11.312435233160645,0.7400940527139284,1980.0,12.0,1.0,48.0,22.0,1,41.032520325203244,139,0,149,18858,2.8,29000,5299,8530,4775,138,116,2210.0
Kam Ping,Medium Risk,0.3116306057575811,17.5,6.94,52,13.211538461538463,1.1322576393592343,1976.0,0.0,6.0,73.0,1.0,0,52.077777777777776,36,33,81,15812,2.7,31940,0,0,15668,144,0,12000.0
Fort Street,Medium Risk,0.4121660597877202,23.1,6.94,102,12.922549019607835,1.4296345163475803,1983.0,0.0,27.0,138.0,6.0,0,58.976377952755904,59,13,93,14489,2.5,30000,0,0,14480,4,5,13000.0
Tanner,Medium Risk,0.4429929711274244,24.8,6.94,27,16.159259259259258,1.3421107832660446,1981.0,0.0,0.0,69.0,0.0,0,56.86538461538463,61,23,94,16669,2.7,43710,0,0,16557,112,0,18300.0
Lei King Wan,Medium Risk,0.45732290621880883,25.6,6.83,43,11.77441860465117,0.4314690357531256,1988.0,0.0,1.0,35.0,2.0,1,12.938775510204081,33,2,51,20189,2.5,30100,717,0,19428,0,44,10000.0
Tai Koo Shing East,Low Risk,0.29302153684035687,16.4,6.83,10,10.289999999999985,0.16261398694186588,1979.0,0.0,0.0,54.0,3.0,1,12.31400966183575,43,0,44,18008,2.9,50300,0,0,18008,0,0,23000.0
Tai Koo Shing West,Medium Risk,0.34132899756957924,19.1,6.83,31,8.83870967741936,0.940967316700647,1984.0,5.0,12.0,41.0,1.0,1,17.509505703422047,45,0,48,17365,3.0,69280,0,0,17365,0,0,26000.0
City Garden,Medium Risk,0.3802858384500645,21.3,6.94,57,8.828070175438594,0.8172545030016883,1986.0,3.0,19.0,57.0,4.0,1,33.36410256410255,62,1,65,15212,2.9,34950,0,0,15158,52,2,15500.0
Provident,Medium Risk,0.4482741144038903,25.1,6.94,112,14.033035714285731,1.7060051733469443,1984.0,0.0,20.0,170.0,4.0,1,28.172619047619047,57,0,66,18697,2.6,29560,0,0,18674,6,17,12000.0
Healthy Village,Medium Risk,0.43173978241827976,24.2,6.94,135,11.553333333333338,1.3368685494472372,1986.0,13.0,12.0,63.0,11.0,1,54.391061452513995,133,0,181,14512,2.6,31060,4866,2512,6990,142,2,3600.0
Quarry Bay,Medium Risk,0.4716911505037847,26.4,6.83,99,14.13939393939394,1.513668313772746,1986.0,4.0,18.0,58.0,6.0,1,7.834437086092719,27,0,30,11198,2.4,30140,0,0,11179,0,19,14000.0
Braemar Hill,Medium Risk,0.45788329881765405,25.7,6.94,106,18.551886792452848,0.45496587662240795,1979.0,0.0,2.0,101.0,28.0,0,175.1143018018017,208,56,277,16171,3.5,85220,0,0,16042,129,0,38750.0
